Time_s,Noise_Fraction
2.522804686999999967e-06,8.111108877038047948e-02
2.522812499999999827e-06,8.111108877038047948e-02
2.522820311999999790e-06,8.111108877038047948e-02
2.522828125000000073e-06,8.111108877038047948e-02
2.522835937000000036e-06,8.111108877038047948e-02
2.522843750000000319e-06,8.111108877038047948e-02
2.522851562000000282e-06,8.111108877038047948e-02
2.522859374999999718e-06,8.111108877038047948e-02
2.522867187000000104e-06,8.111108877038047948e-02
2.522874999999999964e-06,8.111108877038047948e-02
2.522882811999999927e-06,8.111108877038047948e-02
2.522890625000000210e-06,8.111108877038047948e-02
2.522898437000000173e-06,8.111108877038047948e-02
2.522906250000000033e-06,8.111108877038047948e-02
2.522914061999999995e-06,8.111108877038047948e-02
2.522921874999999855e-06,8.111108877038047948e-02
2.522929686999999818e-06,8.111108877038047948e-02
2.522937500000000101e-06,8.111108877038047948e-02
2.522945312000000064e-06,8.111108877038047948e-02
2.522953124999999924e-06,8.111108877038047948e-02
2.522960937000000310e-06,8.111108877038047948e-02
2.522968749999999746e-06,8.111108877038047948e-02
2.522976561999999709e-06,8.111108877038047948e-02
2.522984374999999992e-06,8.111108877038047948e-02
2.522992186999999955e-06,8.111108877038047948e-02
2.523000000000000238e-06,8.111108877038047948e-02
2.523007812000000201e-06,8.111108877038047948e-02
2.523015625000000061e-06,8.111108877038047948e-02
2.523023437000000023e-06,8.111108877038047948e-02
2.523031249999999883e-06,8.111108877038047948e-02
2.523039061999999846e-06,8.111108877038047948e-02
2.523046875000000129e-06,8.111108877038047948e-02
2.523054687000000092e-06,8.111108877038047948e-02
2.523062499999999952e-06,8.111108877038047948e-02
2.523070312000000338e-06,8.106754845547931021e-02
2.523078124999999774e-06,8.102404929571116465e-02
2.523085936999999737e-06,8.098060235097559456e-02
2.523093750000000020e-06,8.093719642312786899e-02
2.523101561999999983e-06,8.089384254853533573e-02
2.523109375000000266e-06,8.085052955319708967e-02
2.523117187000000229e-06,8.080726845001140468e-02
2.523125000000000089e-06,8.076404808905006394e-02
2.523132812000000051e-06,8.072087945981218371e-02
2.523140624999999911e-06,8.067775143636436719e-02
2.523148436999999874e-06,8.063467498488557927e-02
2.523156250000000158e-06,8.059163900335503117e-02
2.523164062000000120e-06,8.054865443471016795e-02
2.523171874999999980e-06,8.050571020076795203e-02
2.523179686999999942e-06,8.046281722128864611e-02
2.523187499999999803e-06,8.041996444185248172e-02
2.523195311999999765e-06,8.037716275912053232e-02
2.523203125000000049e-06,8.033440114235509966e-02
2.523210937000000011e-06,8.029169046519578357e-02
2.523218750000000295e-06,8.024901972051075305e-02
2.523226562000000257e-06,8.020639975898623264e-02
2.523234375000000117e-06,8.016381959702499616e-02
2.523242187000000079e-06,8.012129006242775520e-02
2.523249999999999940e-06,8.007880019505633773e-02
2.523257811999999902e-06,8.003636079990264496e-02
2.523265625000000186e-06,7.999396094020777559e-02
2.523273437000000148e-06,7.995161139823125929e-02
2.523281250000000008e-06,7.990930126052082916e-02
2.523289061999999970e-06,7.986704128666601010e-02
2.523296874999999831e-06,7.982482058644886636e-02
2.523304686999999793e-06,7.978264989686471853e-02
2.523312500000000077e-06,7.974051835085117779e-02
2.523320312000000039e-06,7.969843666288485562e-02
2.523328125000000323e-06,7.968542739699238653e-02
2.523335937000000285e-06,7.967242404170601922e-02
2.523343749999999722e-06,7.965942326587559241e-02
2.523351562000000107e-06,7.964642839540743424e-02
2.523359374999999968e-06,7.963343610132847528e-02
2.523367186999999930e-06,7.962044970737798544e-02
2.523375000000000214e-06,7.960746588675293722e-02
2.523382812000000176e-06,7.959448796102833179e-02
2.523390625000000036e-06,7.958151260557180806e-02
2.523398436999999999e-06,7.956854313979278004e-02
2.523406249999999859e-06,7.955557624122815141e-02
2.523414061999999821e-06,7.954261522712519072e-02
2.523421875000000105e-06,7.952965677718656923e-02
2.523429687000000067e-06,7.951670420650093496e-02
2.523437499999999927e-06,7.950375419693532508e-02
2.523445312000000313e-06,7.949081006141835160e-02
2.523453124999999750e-06,7.947786848398206982e-02
2.523460936999999712e-06,7.946493277539791455e-02
2.523468749999999996e-06,7.945199962185595099e-02
2.523476561999999958e-06,7.943907233197740336e-02
2.523484375000000242e-06,7.942614759410895897e-02
2.523492187000000204e-06,7.941322871472020206e-02
2.523500000000000064e-06,7.940031238431445593e-02
2.523507812000000027e-06,7.938740190721038648e-02
2.523515624999999887e-06,7.937449397606577417e-02
2.523523436999999849e-06,7.936159189305191930e-02
2.523531250000000133e-06,7.934869235297757617e-02
2.523539062000000095e-06,7.933579865587016278e-02
2.523546874999999955e-06,7.932290749868796398e-02
2.523554687000000341e-06,7.931002217931309994e-02
2.523562499999999778e-06,7.929713939685416324e-02
2.523570311999999740e-06,7.928426244705072401e-02
2.523578125000000024e-06,7.927138803115464649e-02
2.523585936999999986e-06,7.930188114595569659e-02
2.523593750000000270e-06,7.933240163707298842e-02
2.523601562000000232e-06,7.936294171886466853e-02
2.523609375000000092e-06,7.939350923724571019e-02
2.523617187000000055e-06,7.942409639462295889e-02
2.523624999999999915e-06,7.945471104904558435e-02
2.523632811999999877e-06,7.948534539093833617e-02
2.523640625000000161e-06,7.951600729051618022e-02
2.523648437000000123e-06,7.954668892619073950e-02
2.523656249999999983e-06,7.957739818036940749e-02
2.523664061999999946e-06,7.960812721942972514e-02
2.523671874999999806e-06,7.963888393799818666e-02
2.523679686999999768e-06,7.966966049038712305e-02
2.523687500000000052e-06,7.970046478347397878e-02
2.523695312000000014e-06,7.973128895947466377e-02
2.523703125000000298e-06,7.976214093754610546e-02
2.523710937000000260e-06,7.979301284778322900e-02
2.523718750000000120e-06,7.982391262164775791e-02
2.523726562000000083e-06,7.985483237708891624e-02
2.523734374999999943e-06,7.988578005790195058e-02
2.523742186999999905e-06,7.991674776985892292e-02
2.523750000000000189e-06,7.994774346912084106e-02
2.523757812000000151e-06,7.997875924925099134e-02
2.523765625000000011e-06,8.000980307880339870e-02
2.523773436999999974e-06,8.004086703911100775e-02
2.523781249999999834e-06,8.007195911114813047e-02
2.523789061999999796e-06,8.010307136398568673e-02
2.523796875000000080e-06,8.013421179105079117e-02
