Time_s,Velocity_Smooth_m_s,Velocity_Uncertainty_m_s
2.522804686999999967e-06,-1.591054101586774738e+00,2.953415907981409294e-01
2.522812499999999827e-06,-1.401693935915230060e+00,2.953415907981409294e-01
2.522820311999999790e-06,-1.213816854156609448e+00,2.953415907981409294e-01
2.522828125000000073e-06,-1.027418337785994451e+00,2.953415907981409294e-01
2.522835937000000036e-06,-8.424938682784670618e-01,2.953415907981409294e-01
2.522843750000000319e-06,-6.590389271091086076e-01,2.953415907981409294e-01
2.522851562000000282e-06,-4.770489957530010816e-01,2.953415907981409294e-01
2.522859374999999718e-06,-2.965195556852260328e-01,2.953415907981409294e-01
2.522867187000000104e-06,-1.174460883808652323e-01,2.953415907981409294e-01
2.522874999999999964e-06,6.017592468499999292e-02,2.953415907981409294e-01
2.522882811999999927e-06,2.363510020372876497e-01,2.953415907981409294e-01
2.522890625000000210e-06,4.110836622009159669e-01,2.953415907981409294e-01
2.522898437000000173e-06,5.843784237008033955e-01,2.953415907981409294e-01
2.522906250000000033e-06,7.562398050618681644e-01,2.953415907981409294e-01
2.522914061999999995e-06,9.266723248090289466e-01,2.953415907981409294e-01
2.522921874999999855e-06,1.095680501467203971e+00,2.953415907981409294e-01
2.522929686999999818e-06,1.263268853561311023e+00,2.953415907981409294e-01
2.522937500000000101e-06,1.429441899616268774e+00,2.953415907981409294e-01
2.522945312000000064e-06,1.594204158156995899e+00,2.953415907981409294e-01
2.522953124999999924e-06,1.757560147708410181e+00,2.953415907981409294e-01
2.522960937000000310e-06,1.919514386795430294e+00,2.953415907981409294e-01
2.522968749999999746e-06,2.080071393942974023e+00,2.953415907981409294e-01
2.522976561999999709e-06,2.239235687675960929e+00,2.953415907981409294e-01
2.522984374999999992e-06,2.397011786519307908e+00,2.953415907981409294e-01
2.522992186999999955e-06,2.553404208997933633e+00,2.953415907981409294e-01
2.523000000000000238e-06,2.708417473636756778e+00,2.953415907981409294e-01
2.523007812000000201e-06,2.862056098960696016e+00,2.953415907981409294e-01
2.523015625000000061e-06,3.014324603494668242e+00,2.953415907981409294e-01
